"date","cases"
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,0
2020-02-28,0
2020-02-29,2
2020-03-01,4
2020-03-02,1
2020-03-03,4
2020-03-04,5
2020-03-05,6
2020-03-06,14
2020-03-07,9
2020-03-08,29
2020-03-09,23
2020-03-10,28
2020-03-11,22
2020-03-12,55
2020-03-13,109
2020-03-14,98
2020-03-15,182
2020-03-16,210
2020-03-17,198
2020-03-18,226
2020-03-19,346
2020-03-20,372
2020-03-21,455
2020-03-22,509
2020-03-23,548
2020-03-24,618
2020-03-25,687
2020-03-26,723
2020-03-27,754
2020-03-28,1057
2020-03-29,807
2020-03-30,617
2020-03-31,547
2020-04-01,671
2020-04-02,551
2020-04-03,549
2020-04-04,438
2020-04-05,411
2020-04-06,253
2020-04-07,183
2020-04-08,306
2020-04-09,289
2020-04-10,290
2020-04-11,276
2020-04-12,357
2020-04-13,203
2020-04-14,111
2020-04-15,87
2020-04-16,150
2020-04-17,129
2020-04-18,111
2020-04-19,100
2020-04-20,60
2020-04-21,47
2020-04-22,68
2020-04-23,70
2020-04-24,73
2020-04-25,60
2020-04-26,79
2020-04-27,62
2020-04-28,35
2020-04-29,70
2020-04-30,49
2020-05-01,61
2020-05-02,54
2020-05-03,37
2020-05-04,28
2020-05-05,12
2020-05-06,30
2020-05-07,54
2020-05-08,46
2020-05-09,38
2020-05-10,50
2020-05-11,30
2020-05-12,15
2020-05-13,66
2020-05-14,38
2020-05-15,52
2020-05-16,54
2020-05-17,81
2020-05-18,15
2020-05-19,26
2020-05-20,58
2020-05-21,60
2020-05-22,30
2020-05-23,32
2020-05-24,28
2020-05-25,24
2020-05-26,31
2020-05-27,25
2020-05-28,22
2020-05-29,50
2020-05-30,19
2020-05-31,42
2020-06-01,32
2020-06-02,5
2020-06-03,19
2020-06-04,16
2020-06-05,53
2020-06-06,17
2020-06-07,67
2020-06-08,31
2020-06-09,25
2020-06-10,24
2020-06-11,15
2020-06-12,34
2020-06-13,22
2020-06-14,37
2020-06-15,22
2020-06-16,18
2020-06-17,53
2020-06-18,19
2020-06-19,31
2020-06-20,32
2020-06-21,52
2020-06-22,32
2020-06-23,29
2020-06-24,31
2020-06-25,43
2020-06-26,35
2020-06-27,44
2020-06-28,74
2020-06-29,45
2020-06-30,63
2020-07-01,49
2020-07-02,101
2020-07-03,95
2020-07-04,80
2020-07-05,134
2020-07-06,106
2020-07-07,76
2020-07-08,68
2020-07-09,91
2020-07-10,117
2020-07-11,72
2020-07-12,105
2020-07-13,90
2020-07-14,52
2020-07-15,98
2020-07-16,123
2020-07-17,130
2020-07-18,141
2020-07-19,124
2020-07-20,81
2020-07-21,87
2020-07-22,90
2020-07-23,137
2020-07-24,162
2020-07-25,117
2020-07-26,153
2020-07-27,112
2020-07-28,101
2020-07-29,96
2020-07-30,153
2020-07-31,102
2020-08-01,190
2020-08-02,123
2020-08-03,62
2020-08-04,70
2020-08-05,93
2020-08-06,83
2020-08-07,159
2020-08-08,119
2020-08-09,90
2020-08-10,104
2020-08-11,72
2020-08-12,158
2020-08-13,187
2020-08-14,190
2020-08-15,251
2020-08-16,349
2020-08-17,156
2020-08-18,169
2020-08-19,259
2020-08-20,252
2020-08-21,347
2020-08-22,331
2020-08-23,302
2020-08-24,229
2020-08-25,193
2020-08-26,243
2020-08-27,301
2020-08-28,319
2020-08-29,226
2020-08-30,394
2020-08-31,237
2020-09-01,223
2020-09-02,221
2020-09-03,286
2020-09-04,429
2020-09-05,366
2020-09-06,380
2020-09-07,217
2020-09-08,367
2020-09-09,396
2020-09-10,552
2020-09-11,691
2020-09-12,599
2020-09-13,930
2020-09-14,414
2020-09-15,414
2020-09-16,820
2020-09-17,723
2020-09-18,854
2020-09-19,806
2020-09-20,874
2020-09-21,667
2020-09-22,471
2020-09-23,582
2020-09-24,719
2020-09-25,804
2020-09-26,657
2020-09-27,763
2020-09-28,591
2020-09-29,545
2020-09-30,739
2020-10-01,759
2020-10-02,853
2020-10-03,791
2020-10-04,1014
2020-10-05,718
2020-10-06,737
2020-10-07,927
2020-10-08,1078
2020-10-09,1274
2020-10-10,1109
2020-10-11,1261
2020-10-12,1014
2020-10-13,830
2020-10-14,1142
2020-10-15,1322
2020-10-16,1435
2020-10-17,1522
2020-10-18,1795
2020-10-19,1485
2020-10-20,1197
2020-10-21,1646
2020-10-22,1977
2020-10-23,2655
2020-10-24,3231
2020-10-25,3348
2020-10-26,2969
2020-10-27,2476
2020-10-28,2782
2020-10-29,4373
2020-10-30,4466
2020-10-31,5044
2020-11-01,5716
2020-11-02,4788
2020-11-03,4478
2020-11-04,5192
2020-11-05,6361
2020-11-06,7109
2020-11-07,6956
2020-11-08,8091
2020-11-09,5322
2020-11-10,5741
2020-11-11,6250
2020-11-12,7431
2020-11-13,9175
2020-11-14,8259
2020-11-15,7013
2020-11-16,5102
2020-11-17,4611
2020-11-18,6074
2020-11-19,7522
2020-11-20,6434
2020-11-21,6608
2020-11-22,6463
2020-11-23,5153
2020-11-24,2437
2020-11-25,4607
2020-11-26,5743
2020-11-27,5391
2020-11-28,5017
2020-11-29,4237
2020-11-30,3738
2020-12-01,2391
2020-12-02,3373
2020-12-03,3934
2020-12-04,3571
2020-12-05,3656
2020-12-06,3591
2020-12-07,2866
2020-12-08,2065
2020-12-09,2512
2020-12-10,2631
2020-12-11,2481
2020-12-12,3088
2020-12-13,2837
2020-12-14,2636
2020-12-15,2502
2020-12-16,2741
2020-12-17,2757
2020-12-18,2388
2020-12-19,1950
2020-12-20,2151
2020-12-21,1505
2020-12-22,1353
2020-12-23,2107
2020-12-24,2557
2020-12-25,2854
2020-12-26,1807
2020-12-27,1287
2020-12-28,1163
2020-12-29,1697
2020-12-30,2125
2020-12-31,2974
2021-01-01,2712
2021-01-02,2003
2021-01-03,1591
2021-01-04,1634
2021-01-05,1896
2021-01-06,2292
2021-01-07,2957
2021-01-08,2086
2021-01-09,2000
2021-01-10,2298
2021-01-11,1548
2021-01-12,1386
2021-01-13,1706
2021-01-14,2161
2021-01-15,1655
2021-01-16,1535
2021-01-17,1558
2021-01-18,1321
2021-01-19,1011
2021-01-20,1629
2021-01-21,1656
2021-01-22,1741
2021-01-23,1789
2021-01-24,1453
2021-01-25,1263
2021-01-26,947
2021-01-27,1424
2021-01-28,1583
2021-01-29,1473
2021-01-30,1422
2021-01-31,1486
2021-02-01,1099
2021-02-02,1133
2021-02-03,1217
2021-02-04,1641
2021-02-05,1519
2021-02-06,1270
2021-02-07,1365
2021-02-08,1147
2021-02-09,999
2021-02-10,1230
2021-02-11,1470
2021-02-12,1668
2021-02-13,1563
2021-02-14,1269
2021-02-15,1171
2021-02-16,1168
2021-02-17,1499
2021-02-18,1657
2021-02-19,1899
2021-02-20,1709
2021-02-21,2090
2021-02-22,1663
2021-02-23,1227
2021-02-24,1899
2021-02-25,1968
2021-02-26,2447
2021-02-27,1896
2021-02-28,2496
2021-03-01,2226
2021-03-02,1402
2021-03-03,2192
2021-03-04,2455
2021-03-05,2400
2021-03-06,2352
2021-03-07,2764
2021-03-08,2246
2021-03-09,1948
2021-03-10,2522
2021-03-11,2413
2021-03-12,2871
2021-03-13,3054
2021-03-14,3033
2021-03-15,2525
2021-03-16,1908
2021-03-17,2759
2021-03-18,2871
2021-03-19,3521
2021-03-20,3224
2021-03-21,3651
2021-03-22,2691
2021-03-23,2438
2021-03-24,3021
2021-03-25,3544
2021-03-26,3448
2021-03-27,3214
2021-03-28,3303
2021-03-29,2647
2021-03-30,3235
2021-03-31,2797
2021-04-01,3136
2021-04-02,3394
2021-04-03,3093
2021-04-04,3306
2021-04-05,2818
2021-04-06,2331
2021-04-07,2009
2021-04-08,2850
2021-04-09,2873
2021-04-10,2514
2021-04-11,3457
2021-04-12,1965
2021-04-13,2059
2021-04-14,2243
2021-04-15,3181
2021-04-16,2737
2021-04-17,2355
2021-04-18,2366
2021-04-19,2033
2021-04-20,2014
2021-04-21,2092
2021-04-22,2529
2021-04-23,2618
2021-04-24,2483
2021-04-25,1972
2021-04-26,1897
2021-04-27,1592
2021-04-28,1918
2021-04-29,2272
2021-04-30,2156
2021-05-01,2118
2021-05-02,1667
2021-05-03,1539
2021-05-04,1108
2021-05-05,1447
2021-05-06,1726
2021-05-07,1392
2021-05-08,1385
2021-05-09,1155
2021-05-10,1062
2021-05-11,745
2021-05-12,928
2021-05-13,1157
2021-05-14,997
2021-05-15,852
2021-05-16,636
2021-05-17,684
2021-05-18,521
2021-05-19,639
2021-05-20,845
2021-05-21,611
2021-05-22,661
2021-05-23,569
2021-05-24,509
2021-05-25,350
2021-05-26,407
2021-05-27,485
2021-05-28,607
2021-05-29,537
2021-05-30,423
2021-05-31,385
2021-06-01,327
2021-06-02,359
2021-06-03,489
2021-06-04,305
2021-06-05,351
2021-06-06,284
2021-06-07,326
2021-06-08,311
2021-06-09,308
2021-06-10,356
2021-06-11,287
2021-06-12,226
2021-06-13,198
2021-06-14,207
2021-06-15,103
2021-06-16,147
2021-06-17,180
2021-06-18,171
2021-06-19,131
2021-06-20,149
2021-06-21,108
2021-06-22,115
2021-06-23,102
2021-06-24,116
2021-06-25,99
2021-06-26,108
2021-06-27,117
2021-06-28,66
2021-06-29,73
2021-06-30,93
2021-07-01,106
2021-07-02,80
2021-07-03,108
2021-07-04,104
2021-07-05,68
2021-07-06,73
2021-07-07,102
2021-07-08,126
2021-07-09,148
2021-07-10,199
2021-07-11,178
2021-07-12,154
2021-07-13,184
2021-07-14,245
2021-07-15,274
2021-07-16,301
2021-07-17,353
2021-07-18,429
2021-07-19,336
2021-07-20,265
2021-07-21,336
2021-07-22,363
2021-07-23,419
2021-07-24,420
2021-07-25,342
2021-07-26,325
