"date","AstraZeneca","BioNTechPfizer","Janssen","Moderna","Other"
2020-12-27,0,769,0,0,0
2020-12-28,0,2105,0,0,0
2020-12-29,0,3784,0,0,0
2020-12-30,0,5188,0,0,0
2020-12-31,0,5206,0,0,0
2021-01-01,0,5219,0,0,0
2021-01-02,0,5243,0,0,0
2021-01-03,0,5255,0,0,0
2021-01-04,0,5392,0,0,0
2021-01-05,0,7212,0,0,0
2021-01-06,0,8083,0,0,0
2021-01-07,0,11386,0,0,0
2021-01-08,0,24665,0,0,0
2021-01-09,0,29215,0,0,0
2021-01-10,0,31471,0,0,0
2021-01-11,0,37232,0,0,0
2021-01-12,0,52341,0,0,0
2021-01-13,0,68552,0,0,12
2021-01-14,0,85612,0,0,13
2021-01-15,0,104241,0,7,14
2021-01-16,0,111140,0,12,14
2021-01-17,0,116413,0,94,14
2021-01-18,0,127030,0,102,15
2021-01-19,0,151738,0,231,15
2021-01-20,0,174095,0,315,19
2021-01-21,0,193959,0,320,26
2021-01-22,0,205008,0,321,41
2021-01-23,0,208180,0,323,51
2021-01-24,0,209449,0,327,57
2021-01-25,0,210771,0,432,68
2021-01-26,0,217105,0,1982,77
2021-01-27,0,223856,0,2830,89
2021-01-28,0,230592,0,3458,97
2021-01-29,0,235403,0,4084,104
2021-01-30,0,236639,0,4213,105
2021-01-31,0,236968,0,4309,105
2021-02-01,0,238481,0,4429,110
2021-02-02,0,241640,0,4430,119
2021-02-03,0,244865,0,4435,127
2021-02-04,0,247590,0,4609,129
2021-02-05,0,251560,0,4838,130
2021-02-06,0,253450,0,5731,130
2021-02-07,0,253797,0,6015,130
2021-02-08,429,254900,0,6563,136
2021-02-09,436,257297,0,7080,139
2021-02-10,843,259765,0,7863,142
2021-02-11,3143,262428,0,8369,158
2021-02-12,6892,265678,0,10015,171
2021-02-13,10564,267372,0,10030,185
2021-02-14,10798,267627,0,10034,186
2021-02-15,12801,268643,0,10974,189
2021-02-16,16191,271765,0,11578,198
2021-02-17,22340,275303,0,12076,208
2021-02-18,28879,279992,0,12811,220
2021-02-19,37784,283599,0,13392,233
2021-02-20,42422,290004,0,13772,242
2021-02-21,43630,294278,0,13969,253
2021-02-22,47281,295444,0,14341,258
2021-02-23,51400,301341,0,14950,262
2021-02-24,58994,309507,0,15754,264
2021-02-25,66307,317757,0,16723,264
2021-02-26,82555,325406,0,17501,269
2021-02-27,96451,334554,0,17756,272
2021-02-28,101532,338474,0,18484,272
2021-03-01,106348,340953,0,19353,274
2021-03-02,111408,358234,0,20471,277
2021-03-03,117615,376510,1,21988,284
2021-03-04,126371,392012,1,22789,288
2021-03-05,140277,410492,1,24878,291
2021-03-06,149370,425710,3,26333,292
2021-03-07,156597,429806,3,26397,294
2021-03-08,160398,434604,3,28219,314
2021-03-09,168045,450114,4,30230,327
2021-03-10,176577,463765,4,32780,334
2021-03-11,187725,490282,5,34832,338
2021-03-12,207704,522460,5,36429,354
2021-03-13,225182,550599,5,37743,357
2021-03-14,235579,566999,5,38027,359
2021-03-15,245552,574160,8,39912,367
2021-03-16,253441,585339,21,43245,374
2021-03-17,262123,598684,27,47942,379
2021-03-18,267994,615415,29,52355,383
2021-03-19,291133,632402,30,58099,387
2021-03-20,304192,650194,31,65321,391
2021-03-21,309012,656694,31,65772,393
2021-03-22,317973,659371,36,67809,397
2021-03-23,328301,665758,38,70621,400
2021-03-24,338773,674003,40,73976,403
2021-03-25,351101,686871,46,78860,407
2021-03-26,368168,698363,49,83075,416
2021-03-27,380485,709818,53,86400,428
2021-03-28,384559,715112,53,87109,437
2021-03-29,392010,721694,54,94428,443
2021-03-30,397943,742297,56,97858,449
2021-03-31,405906,752536,66,102094,461
2021-04-01,412050,762376,77,109299,463
2021-04-02,419259,774082,82,115414,472
2021-04-03,421206,783258,87,117203,476
2021-04-04,423164,789647,89,117252,481
2021-04-05,428380,792230,97,117367,493
2021-04-06,443634,801737,103,119129,509
2021-04-07,461116,821132,110,122353,539
2021-04-08,482606,841775,124,127986,566
2021-04-09,500713,860577,136,136912,583
